SPGTable,,,,,,,,,,,,,,,,,,,,
#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE_TICKER,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV
,,,FY0,FY-5,FY-4,FY-3,FY-2,FY-1,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY0,FY-1,FY-2,FY-3,FY-4,FY-5
,,,,,,,,,,,,,,,,,,,,
Atmos Energy Corporation (NYSE:ATO),4057157,NYSE:ATO,"9,303,506","4,768,731","7,563,090","8,370,016","7,122,906","8,129,213","2,322,278","2,046,342","1,688,764","1,448,300","1,363,737","1,250,738","4,702,755","4,165,187","4,275,357","4,201,662","3,407,490","2,821,137"
"Autodesk, Inc. (NASDAQGS:ADSK)",4208149,NASDAQGS:ADSK,"2,734,000","2,104,600","3,061,000","2,666,000","2,626,000","2,559,000","1,906,000","1,510,000","1,266,000","1,124,000","844,000","733,000","7,206,000","6,131,000","5,497,000","5,005,000","4,386,000","3,790,000"
"Automatic Data Processing, Inc. (NASDAQGS:ADP)",1031164,NASDAQGS:ADP,"9,205,600","2,458,100","3,446,400","3,590,700","3,541,000","3,798,600","6,025,200","5,539,100","5,107,500","4,380,000","3,893,900","3,696,200","20,560,900","19,202,600","18,012,200","16,498,300","15,005,400","14,589,800"
"AutoZone, Inc. (NYSE:AZO)",4344582,NYSE:AZO,"12,577,215","8,462,130","8,415,284","9,513,777","11,130,469","12,650,851","4,223,355","4,338,463","3,971,563","3,712,952","3,395,210","2,899,045","18,938,717","18,490,268","17,457,209","16,252,230","14,629,585","12,631,967"
"AvalonBay Communities, Inc. (NYSE:AVB)",103145,NYSE:AVB,"9,497,798","7,745,816","8,270,044","8,478,716","8,135,216","8,250,531","1,846,987","1,764,699","1,711,679","1,609,518","1,409,882","1,421,550","3,041,189","2,912,851","2,776,345","2,608,696","2,333,435","2,302,526"
Avery Dennison Corporation (NYSE:AVY),3001622,NYSE:AVY,"3,953,600","2,313,800","3,297,600","3,258,100","3,442,000","3,377,900","1,418,900","1,423,100","1,239,800","1,349,400","1,261,800","1,049,900","8,855,500","8,755,700","8,364,300","9,039,300","8,408,300","6,971,500"
"Axon Enterprise, Inc. (NASDAQGS:AXON)",4142027,NASDAQGS:AXON,"1,916,654","24,383","26,980","717,468","718,601","731,125","53,508","107,574","176,165","116,089","(149,429)",(475),"2,779,536","2,082,526","1,560,699","1,187,143","863,381","681,003"
Baker Hughes Company (NASDAQGS:BKR),6893503,NASDAQGS:BKR,"6,702,000","8,442,000","7,557,000","7,467,000","6,789,000","6,696,000","4,695,000","4,569,000","3,744,000","2,989,000","2,583,000","2,349,000","27,733,000","27,829,000","25,506,000","21,156,000","20,502,000","20,705,000"
Ball Corporation (NYSE:BALL),4014079,NYSE:BALL,"7,374,000","8,095,000","8,157,000","9,388,000","8,942,000","6,017,000","2,012,000","1,794,000","1,776,000","1,695,000","2,133,000","1,933,000","13,161,000","11,795,000","12,062,000","13,372,000","13,811,000","11,781,000"
Bank of America Corporation (NYSE:BAC),100369,NYSE:BAC,"767,072,000","524,788,000","556,123,000","562,151,000","681,469,000","717,447,000",NA,NA,NA,NA,NA,NA,"107,422,000","100,035,000","98,375,000","92,407,000","93,707,000","74,208,000"
Baxter International Inc. (NYSE:BAX),4081442,NYSE:BAX,"9,780,000","6,804,000","18,310,000","17,203,000","14,113,000","13,449,000","2,018,000","1,885,000","1,880,000","1,980,000","2,597,000","2,536,000","11,244,000","10,636,000","10,360,000","10,057,000","12,146,000","11,673,000"
"Becton, Dickinson and Company (NYSE:BDX)",4133271,NYSE:BDX,"20,020,000","18,373,000","18,080,000","16,567,000","16,410,000","20,919,000","6,124,000","5,133,000","4,418,000","4,793,000","5,051,000","4,033,000","21,840,000","20,178,000","19,372,000","18,870,000","19,131,000","16,074,000"
Berkshire Hathaway Inc. (NYSE:BRK.A),103462,NYSE:BRK.A,"135,371,000","122,364,000","119,253,000","127,683,000","133,570,000","130,758,000","110,594,000","126,590,000","135,682,000","(17,112,000)","125,865,000","80,386,000","371,444,000","371,433,000","364,482,000","302,020,000","276,185,000","245,579,000"
"Best Buy Co., Inc. (NYSE:BBY)",4095864,NYSE:BBY,"4,134,000","4,082,000","3,938,000","3,978,000","3,993,000","4,067,000","2,602,000","2,602,000","2,652,000","2,860,000","3,879,000","3,507,000","41,691,000","41,528,000","43,452,000","46,298,000","51,761,000","47,262,000"
Biogen Inc. (NASDAQGS:BIIB),4152157,NASDAQGS:BIIB,"6,657,600","7,911,400","7,692,600","6,711,200","7,428,500","6,716,700","3,603,700","3,238,700","2,393,600","3,536,900","3,923,400","5,108,300","9,890,600","9,675,900","9,835,600","10,173,400","10,981,700","13,444,600"
Bio-Techne Corporation (NASDAQGS:TECH),4810610,NASDAQGS:TECH,"444,058","450,857","428,930","326,447","454,965","419,538","331,142","313,719","344,046","339,528","302,647","198,999","1,219,635","1,159,060","1,136,702","1,105,599","931,032","738,691"
"BlackRock, Inc. (NYSE:BLK)",4048287,NYSE:BLK,"14,996,000","8,069,000","9,332,000","8,489,000","9,702,000","14,222,000","9,686,000","8,207,000","6,766,000","6,897,000","7,899,000","6,076,000","24,216,000","20,407,000","17,859,000","17,873,000","19,374,000","16,205,000"
Blackstone Inc. (NYSE:BX),4157397,NYSE:BX,"14,557,704","6,544,493","8,861,842","13,598,029","12,948,503","13,362,465",NA,NA,NA,NA,NA,NA,"14,212,824","12,662,587","7,683,902","8,015,891","22,175,794","6,188,907"
"Block, Inc. (NYSE:XYZ)",4340737,NYSE:XYZ,"8,966,376","3,493,427","5,516,240","6,332,764","6,071,517","7,918,613","2,070,485","1,345,598","122,792","(338,003)","273,224","65,397","24,193,683","24,121,053","21,915,623","17,531,587","17,661,203","9,497,578"
Booking Holdings Inc. (NASDAQGS:BKNG),4122589,NASDAQGS:BKNG,"19,414,000","12,539,000","11,430,000","13,215,000","15,003,000","17,236,000","10,110,000","8,180,000","6,429,000","5,313,000","3,053,000","965,000","26,917,000","23,739,000","21,365,000","17,090,000","10,958,000","6,796,000"
Boston Scientific Corporation (NYSE:BSX),4810597,NYSE:BSX,"11,972,000","9,614,000","9,525,000","9,343,000","9,568,000","11,228,000","5,339,000","4,271,000","3,613,000","3,169,000","2,917,000","2,075,000","20,074,000","16,747,000","14,240,000","12,682,000","11,888,000","9,913,000"
Bristol-Myers Squibb Company (NYSE:BMY),4623856,NYSE:BMY,"47,187,000","51,683,000","45,596,000","40,820,000","41,507,000","51,237,000","19,116,000","19,407,000","18,134,000","19,423,000","19,329,000","13,824,000","48,194,000","48,300,000","45,006,000","46,159,000","46,385,000","42,518,000"
Broadcom Inc. (NASDAQGS:AVGO),4970473,NASDAQGS:AVGO,"66,461,000","41,689,000","40,273,000","39,978,000","39,648,000","68,916,000","35,003,000","25,658,000","20,455,000","19,174,000","14,626,000","11,266,000","63,887,000","51,574,000","35,819,000","33,203,000","27,450,000","23,888,000"
