SPGTable,,,,,,,,,,,,,,,,,,,,
#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND,#PEND
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE_TICKER,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_TOTAL_DEBT,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_EBITDA,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV,IQ_TOTAL_REV
,,,FY0,FY-5,FY-4,FY-3,FY-2,FY-1,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY0,FY-1,FY-2,FY-3,FY-4,FY-5
,,,,,,,,,,,,,,,,,,,,
Expand Energy Corporation (NASDAQGS:EXE),4010492,NASDAQGS:EXE,"5,108,000","9,135,000","2,316,000","3,212,000","2,127,000","5,825,000","5,615,000","1,247,000","3,728,000","5,279,000","1,807,000","1,383,000","11,639,000","4,259,000","6,047,000","14,123,000","7,301,000","4,614,000"
"Expedia Group, Inc. (NASDAQGS:EXPE)",4122573,NASDAQGS:EXPE,"6,487,000","8,855,000","8,887,000","6,629,000","6,633,000","6,594,000","2,301,000","1,831,000","1,632,000","1,384,000","488,000","(1,227,000)","14,733,000","13,691,000","12,839,000","11,667,000","8,598,000","5,199,000"
"Expeditors International of Washington, Inc. (NYSE:EXPD)",4077460,NYSE:EXPD,"570,589","438,189","467,660","518,465","527,733","568,937","1,109,315","1,102,413","1,007,693","1,946,709","1,960,638","997,396","11,069,009","10,600,515","9,300,110","17,071,284","16,523,517","9,584,393"
Extra Space Storage Inc. (NYSE:EXR),4092889,NYSE:EXR,"14,134,830","6,108,113","6,230,672","7,560,570","11,258,293","13,028,571","2,268,753","2,246,017","1,792,384","1,367,362","1,109,430","894,870","3,446,357","3,324,174","2,615,079","1,965,598","1,609,720","1,378,573"
Exxon Mobil Corporation (NYSE:XOM),3007562,NYSE:XOM,"50,487,000","72,941,000","53,029,000","46,918,000","47,709,000","48,309,000","59,386,000","63,581,000","63,688,000","85,686,000","44,288,000","17,016,000","323,905,000","339,247,000","334,697,000","398,675,000","277,140,000","179,784,000"
"F5, Inc. (NASDAQGS:FFIV)",4135450,NASDAQGS:FFIV,"261,791","773,047","715,278","664,671","280,986","249,564","883,832","774,237","650,658","533,485","559,647","520,897","3,088,072","2,816,120","2,813,169","2,695,845","2,603,416","2,350,822"
FactSet Research Systems Inc. (NYSE:FDS),4047873,NYSE:FDS,"1,558,509","881,359","869,070","2,220,231","1,839,921","1,574,567","905,994","826,486","734,591","626,437","538,517","513,774","2,321,748","2,203,056","2,085,508","1,843,892","1,591,445","1,494,111"
Fair Isaac Corporation (NYSE:FICO),108391,NYSE:FICO,"3,091,700","935,691","1,334,762","1,912,230","1,901,897","2,252,946","950,724","747,456","655,527","562,879","437,872","369,599","1,990,869","1,717,526","1,513,557","1,377,270","1,316,536","1,294,562"
Fastenal Company (NASDAQGS:FAST),4101711,NASDAQGS:FAST,"441,900","650,100","636,800","802,100","535,000","485,400","1,834,900","1,685,400","1,706,000","1,630,200","1,388,100","1,304,200","8,200,500","7,546,000","7,346,700","6,980,600","6,010,900","5,647,300"
Federal Realty Investment Trust (NYSE:FRT),102950,NYSE:FRT,"5,028,307","4,435,865","4,192,240","4,474,796","4,687,717","4,561,252","814,519","750,583","709,611","659,024","577,249","491,547","1,280,895","1,205,612","1,136,023","1,079,548","952,469","827,432"
FedEx Corporation (NYSE:FDX),4379438,NYSE:FDX,"37,416,000","36,121,000","36,462,000","37,194,000","38,332,000","37,719,000","11,009,000","11,250,000","10,568,000","9,767,000","11,749,000","6,345,000","87,926,000","87,693,000","90,155,000","93,512,000","83,959,000","69,217,000"
"Fidelity National Information Services, Inc. (NYSE:FIS)",4093074,NYSE:FIS,"13,331,000","20,620,000","20,877,000","20,409,000","19,341,000","11,541,000","3,139,000","3,131,000","2,853,000","2,611,000","4,496,000","3,340,000","10,677,000","10,127,000","9,831,000","9,720,000","9,339,000","12,552,000"
Fifth Third Bancorp (NASDAQGS:FITB),100260,NASDAQGS:FITB,"17,260,000","18,064,000","15,615,000","23,283,000","23,034,000","22,395,000",NA,NA,NA,NA,NA,NA,"8,355,000","7,949,000","8,193,000","7,823,000","8,297,000","6,552,000"
"First Solar, Inc. (NASDAQGS:FSLR)",4211343,NASDAQGS:FSLR,"655,335","482,271","398,594","234,131","624,389","718,802","2,126,080","1,817,233","1,193,967","(11,023)","699,367","573,814","5,219,376","4,206,289","3,318,602","2,619,319","2,923,377","2,711,332"
FirstEnergy Corp. (NYSE:FE),4056944,NYSE:FE,"26,843,000","24,782,000","24,164,000","21,949,000","25,136,000","24,266,000","4,933,000","4,291,000","3,848,000","3,970,000","4,272,000","2,937,000","14,901,000","13,286,000","12,685,000","12,268,000","10,943,000","10,607,000"
"Fiserv, Inc. (NASDAQGS:FISV)",113881,NASDAQGS:FISV,"29,760,000","21,280,000","21,974,000","22,170,000","23,901,000","25,610,000","8,859,000","8,974,000","7,968,000","6,855,000","5,499,000","4,604,000","21,193,000","20,456,000","19,093,000","17,737,000","16,226,000","14,852,000"
Ford Motor Company (NYSE:F),113873,NYSE:F,"165,738,000","162,998,000","139,485,000","140,474,000","151,107,000","160,862,000","5,393,000","11,497,000","9,487,000","14,573,000","12,677,000","3,197,000","187,267,000","184,992,000","176,191,000","158,057,000","136,341,000","127,144,000"
"Fortinet, Inc. (NASDAQGS:FTNT)",4868602,NASDAQGS:FTNT,"1,061,800","53,100","1,055,200","1,086,100","1,071,400","1,073,400","2,226,300","1,921,600","1,349,900","1,069,300","730,200","560,400","6,799,600","5,955,800","5,304,800","4,417,400","3,342,200","2,594,400"
Fortive Corporation (NYSE:FTV),4992262,NYSE:FTV,"3,306,600","4,431,400","4,143,500","3,420,700","3,810,100","3,805,200","1,158,200","1,148,000","999,400","1,471,300","1,206,100","947,800","4,159,100","4,080,900","3,913,900","5,825,700","5,254,700","4,634,400"
Fox Corporation (NASDAQGS:FOXA),13518181,NASDAQGS:FOXA,"7,465,000","8,520,000","8,452,000","7,718,000","8,207,000","8,152,000","3,523,000","2,847,000","3,098,000","2,868,000","3,058,000","2,762,000","16,300,000","13,980,000","14,913,000","13,974,000","12,909,000","12,303,000"
"Franklin Resources, Inc. (NYSE:BEN)",102719,NYSE:BEN,"3,362,600","3,638,100","3,917,800","3,904,800","3,520,600","3,745,400","1,701,300","1,688,400","1,945,500","2,331,300","2,405,800","1,428,000","8,770,700","8,478,000","7,849,400","8,275,300","8,425,500","5,566,500"
Freeport-McMoRan Inc. (NYSE:FCX),4004107,NYSE:FCX,"10,492,000","9,939,000","9,769,000","10,952,000","9,853,000","9,738,000","9,101,000","9,556,000","8,499,000","9,274,000","10,599,000","3,834,000","25,915,000","25,455,000","22,855,000","22,780,000","22,845,000","14,198,000"
Garmin Ltd. (NYSE:GRMN),4156047,NYSE:GRMN,"195,988","94,832","90,547","139,690","140,811","162,787","2,064,835","1,773,729","1,269,732","1,191,698","1,373,438","1,180,955","7,245,519","6,296,903","5,228,252","4,860,286","4,982,795","4,186,573"
"Gartner, Inc. (NYSE:IT)",4094069,NYSE:IT,"3,347,950","2,952,137","3,304,021","3,158,391","3,070,195","2,900,006","1,310,532","1,308,815","1,274,168","1,314,486","1,148,031","685,817","6,497,226","6,267,411","5,906,956","5,475,846","4,733,962","4,099,403"
GE HealthCare Technologies Inc. (NASDAQGS:GEHC),108009705,NASDAQGS:GEHC,"10,463,000","35,000","437,000","8,635,000","9,863,000","9,376,000","3,642,000","3,625,000","3,438,000","3,100,000","3,419,000","3,346,000","20,625,000","19,672,000","19,552,000","18,341,000","17,585,000","17,164,000"
GE Vernova Inc. (NYSE:GEV),108612670,NYSE:GEV,"1,196,000",NA,NA,"1,168,000","1,184,000","1,061,000","2,995,000","2,216,000","1,057,000","(754,000)","798,000",NA,"38,068,000","34,935,000","33,239,000","29,654,000","33,006,000",NA
Gen Digital Inc. (NASDAQGS:GEN),4048156,NASDAQGS:GEN,"8,315,000","4,322,000","3,693,000","3,829,000","9,819,000","8,655,000","1,878,000","1,792,000","1,468,000","1,137,000","1,177,000","821,000","3,935,000","3,800,000","3,317,000","2,796,000","2,551,000","2,490,000"
Generac Holdings Inc. (NYSE:GNRC),4991196,NYSE:GNRC,"1,384,947","948,943","1,083,975","1,534,685","1,649,365","1,392,711","484,026","708,510","552,801","722,471","834,642","549,290","4,209,147","4,295,834","4,022,667","4,564,737","3,737,184","2,485,200"
General Dynamics Corporation (NYSE:GD),4040505,NYSE:GD,"9,789,000","14,732,000","13,175,000","12,114,000","11,083,000","10,676,000","6,344,000","5,655,000","4,570,000","5,485,000","5,271,000","5,090,000","52,550,000","47,716,000","42,272,000","39,407,000","38,469,000","37,925,000"
General Electric Company (NYSE:GE),114527,NYSE:GE,"21,557,000","78,097,000","38,033,000","26,148,000","21,764,000","20,378,000","10,703,000","8,941,000","7,424,000","5,165,000","2,290,000","2,832,000","45,855,000","38,702,000","35,348,000","29,139,000","56,469,000","75,833,000"
"General Mills, Inc. (NYSE:GIS)",4096376,NYSE:GIS,"15,296,700","13,918,500","13,006,400","11,975,400","12,064,800","13,315,100","3,904,200","4,335,400","3,688,000","3,942,200","4,105,200","3,713,100","19,486,600","19,857,200","20,094,200","18,992,800","18,127,000","17,626,600"
General Motors Company (NYSE:GM),4272273,NYSE:GM,"131,578,000","111,072,000","110,595,000","115,913,000","122,912,000","130,947,000","17,629,000","18,689,000","15,784,000","17,824,000","16,894,000","13,653,000","185,019,000","187,442,000","171,842,000","156,735,000","127,004,000","122,485,000"
Genuine Parts Company (NYSE:GPC),4004397,NYSE:GPC,"6,929,765","3,737,178","3,479,113","4,451,555","5,184,581","6,086,012","2,014,110","2,013,700","2,148,023","2,028,062","1,562,854","1,274,599","24,300,141","23,486,569","23,090,610","22,095,973","18,870,510","16,537,433"
"Gilead Sciences, Inc. (NASDAQGS:GILD)",4135343,NASDAQGS:GILD,"25,541,000","32,117,000","27,285,000","25,808,000","25,658,000","27,322,000","14,577,000","13,454,000","12,021,000","13,077,000","13,982,000","12,439,000","29,443,000","28,754,000","27,116,000","27,281,000","27,305,000","24,689,000"
Global Payments Inc. (NYSE:GPN),4090258,NYSE:GPN,"22,190,045","10,271,004","12,660,573","14,725,477","17,815,236","16,998,981","3,439,073","3,382,562","2,928,052","3,641,075","3,050,260","2,508,393","7,705,878","7,735,970","7,379,784","8,975,515","8,523,762","7,423,558"
Globe Life Inc. (NYSE:GL),103323,NYSE:GL,"3,062,449","1,922,804","2,026,138","2,100,055","2,253,672","3,111,652","1,624,249","1,502,304","1,318,482","1,216,002","1,386,236","1,003,663","5,994,318","5,778,069","5,447,533","5,226,740","5,112,038","4,737,921"
GoDaddy Inc. (NYSE:GDDY),4972972,NYSE:GDDY,"3,862,600","3,523,200","4,150,400","3,983,800","3,967,400","3,894,700","1,255,000","1,068,200","809,500","744,200","659,600","508,500","4,951,100","4,573,200","4,254,100","4,091,300","3,815,700","3,316,700"
Halliburton Company (NYSE:HAL),4010641,NYSE:HAL,"8,316,000","10,978,000","10,323,000","9,084,000","8,973,000","8,772,000","4,121,000","5,005,000","5,081,000","3,943,000","2,645,000","1,635,000","22,184,000","22,944,000","23,018,000","20,297,000","15,295,000","14,445,000"
"Hasbro, Inc. (NASDAQGS:HAS)",4095387,NASDAQGS:HAS,"3,396,300","5,099,200","4,069,000","4,006,400","3,496,300","3,410,600","1,200,100","921,200","515,900","662,400","1,177,400","990,700","4,701,300","4,135,500","5,003,300","5,856,700","6,420,400","5,465,400"
"HCA Healthcare, Inc. (NYSE:HCA)",4283738,NYSE:HCA,"48,697,000","33,102,000","36,734,000","40,200,000","41,859,000","45,237,000","15,488,000","13,859,000","12,703,000","12,023,000","12,531,000","9,983,000","75,600,000","70,603,000","64,968,000","60,233,000","58,752,000","51,533,000"
"Healthpeak Properties, Inc. (NYSE:DOC)",102953,NYSE:DOC,"10,144,154","6,477,874","6,374,536","6,706,128","7,083,042","9,023,269","1,555,855","1,456,178","1,151,196","1,080,661","1,004,164","741,038","2,822,512","2,700,449","2,181,003","2,061,178","1,896,184","1,644,875"
"Henry Schein, Inc. (NASDAQGS:HSIC)",4811795,NASDAQGS:HSIC,"3,439,000","1,002,418","1,217,000","1,497,000","2,751,000","2,873,000","1,023,000","1,019,000","950,000","1,081,000","1,070,000","753,000","13,184,000","12,673,000","12,339,000","12,647,000","12,401,000","10,119,000"
Hewlett Packard Enterprise Company (NYSE:HPE),4641383,NYSE:HPE,"24,077,000","17,029,000","14,578,000","13,662,000","13,666,000","19,816,000","4,491,000","5,059,000","5,061,000","4,858,000","4,853,000","4,263,000","34,296,000","30,127,000","29,135,000","28,496,000","27,784,000","26,982,000"
Hilton Worldwide Holdings Inc. (NYSE:HLT),4019144,NYSE:HLT,"13,214,000","11,710,000","9,817,000","9,691,000","10,120,000","12,003,000","2,852,000","2,501,000","2,413,000","2,273,000","1,220,000","219,000","4,954,000","4,746,000","4,408,000","3,736,000","2,444,000","1,600,000"
Honeywell International Inc. (NASDAQGS:HON),4121346,NASDAQGS:HON,"35,563,000","23,212,000","20,631,000","20,537,000","21,536,000","32,077,000","8,468,000","8,405,000","7,578,000","8,274,000","8,696,000","7,656,000","37,442,000","34,717,000","33,009,000","35,466,000","34,392,000","32,637,000"
Hormel Foods Corporation (NYSE:HRL),4068867,NYSE:HRL,"3,025,410","1,358,778","3,399,013","3,376,099","3,444,723","3,012,111","1,224,557","1,352,441","1,310,985","1,521,306","1,327,347","1,270,430","12,106,160","11,920,797","12,110,010","12,458,806","11,386,189","9,608,462"
"Host Hotels & Resorts, Inc. (NASDAQGS:HST)",4041118,NASDAQGS:HST,"5,640,000","6,151,000","5,455,000","4,783,000","4,772,000","5,643,000","1,644,000","1,540,000","1,444,000","1,425,000","535,000","(318,000)","6,132,000","5,691,000","5,317,000","4,910,000","2,921,000","1,590,000"
Howmet Aerospace Inc. (NYSE:HWM),6661591,NYSE:HWM,"3,213,000","5,213,000","4,346,000","4,277,000","3,835,000","3,471,000","2,388,000","1,884,000","1,457,000","1,260,000","1,095,000","1,103,000","8,252,000","7,430,000","6,640,000","5,663,000","4,972,000","5,259,000"
HP Inc. (NYSE:HPQ),105223,NYSE:HPQ,"10,882,000","7,399,000","8,802,000","12,372,000","10,797,000","10,899,000","4,474,000","5,044,000","5,188,000","6,293,000","6,462,000","4,946,000","55,295,000","53,559,000","53,718,000","62,910,000","63,460,000","56,639,000"
Hubbell Incorporated (NYSE:HUBB),4992018,NYSE:HUBB,"2,487,300","1,692,500","1,530,600","1,558,000","2,290,000","1,719,600","1,411,700","1,314,900","1,173,500","854,300","675,700","641,800","5,844,600","5,628,500","5,372,900","4,947,900","4,194,100","3,682,500"
Humana Inc. (NYSE:HUM),111564,NYSE:HUM,"13,270,000","7,464,000","13,551,000","12,032,000","12,602,000","12,775,000","3,569,000","3,351,000","4,902,000","4,593,000","3,418,000","5,251,000","129,664,000","117,761,000","106,374,000","92,870,000","83,064,000","77,155,000"
Huntington Bancshares Incorporated (NASDAQGS:HBAN),100307,NASDAQGS:HBAN,"19,286,000","8,871,000","8,002,000","13,184,000","14,132,000","17,576,000",NA,NA,NA,NA,NA,NA,"7,692,000","6,947,000","6,945,000","6,956,000","5,958,000","3,763,000"
"Huntington Ingalls Industries, Inc. (NYSE:HII)",4436418,NYSE:HII,"2,981,000","1,880,000","3,544,000","3,203,000","2,724,000","3,459,000","1,130,000","991,000","1,119,000","1,151,000","946,000","1,133,000","12,484,000","11,535,000","11,454,000","10,676,000","9,524,000","9,361,000"
IDEX Corporation (NYSE:IEX),4992897,NYSE:IEX,"1,942,700","1,155,500","1,301,300","1,586,900","1,445,800","2,087,900","931,400","881,400","903,700","908,600","757,100","621,600","3,457,500","3,268,800","3,273,900","3,181,900","2,764,800","2,351,600"
"IDEXX Laboratories, Inc. (NASDAQGS:IDXX)",4811348,NASDAQGS:IDXX,"976,508","1,003,252","1,031,009","1,470,033","1,067,353","986,948","1,505,214","1,319,773","1,212,036","1,010,665","1,036,624","790,522","4,303,702","3,897,504","3,660,953","3,367,324","3,215,360","2,706,655"
Illinois Tool Works Inc. (NYSE:ITW),4992234,NYSE:ITW,"9,211,000","8,310,000","7,881,000","7,949,000","8,370,000","8,078,000","4,655,000","4,694,000","4,468,000","4,241,000","3,910,000","3,322,000","16,044,000","15,898,000","16,107,000","15,932,000","14,455,000","12,574,000"
Incyte Corporation (NASDAQGS:INCY),4810794,NASDAQGS:INCY,"54,920","61,719","60,429","55,566","52,571","60,337","1,439,770","173,697","740,655","665,348","659,659","(186,834)","5,141,242","4,241,217","3,695,649","3,394,635","2,986,267","2,666,702"
Ingersoll Rand Inc. (NYSE:IR),4380458,NYSE:IR,"5,148,000","4,037,100","3,536,500","2,901,300","2,945,200","4,980,200","2,015,800","1,936,300","1,700,600","1,312,200","1,044,500","686,900","7,650,900","7,235,000","6,876,100","5,916,300","5,152,400","3,973,200"
Insulet Corporation (NASDAQGS:PODD),4811052,NASDAQGS:PODD,"1,002,700","1,076,200","1,286,500","1,432,800","1,448,800","1,434,200","564,200","389,700","292,900","120,800","183,400","106,900","2,708,100","2,071,600","1,697,100","1,305,300","1,098,800","904,400"
Intel Corporation (NASDAQGS:INTC),4025746,NASDAQGS:INTC,"47,109,000","36,529,000","38,166,000","42,063,000","49,697,000","50,471,000","12,633,000","9,971,000","9,633,000","16,951,000","33,874,000","36,115,000","52,853,000","53,101,000","54,228,000","63,054,000","79,024,000","77,867,000"
"Interactive Brokers Group, Inc. (NASDAQGS:IBKR)",4153870,NASDAQGS:IBKR,"25,453,000","10,109,000","11,951,000","9,116,000","11,616,000","16,542,000",NA,NA,NA,NA,NA,NA,"6,209,000","5,200,000","4,420,000","3,167,000","2,751,000","2,237,000"
"Intercontinental Exchange, Inc. (NYSE:ICE)",4099823,NYSE:ICE,"20,316,000","16,926,000","14,242,000","18,441,000","22,972,000","20,740,000","6,176,000","5,635,000","4,894,000","4,515,000","4,347,000","3,699,000","9,931,000","9,279,000","7,988,000","7,292,000","7,146,000","6,036,000"
International Business Machines Corporation (NYSE:IBM),4000193,NYSE:IBM,"64,607,000","65,088,000","55,140,000","54,013,000","59,935,000","58,396,000","16,118,000","12,886,000","12,257,000","10,775,000","11,309,000","11,357,000","67,535,000","62,753,000","61,860,000","60,530,000","57,351,000","55,179,000"
International Flavors & Fragrances Inc. (NYSE:IFF),4985791,NYSE:IFF,"6,651,000","4,726,000","12,199,000","11,745,000","10,823,000","9,637,000","1,858,000","1,738,000","1,748,000","2,246,000","1,815,000","931,000","10,890,000","11,484,000","11,479,000","12,440,000","11,656,000","5,084,000"
International Paper Company (NYSE:IP),4060689,NYSE:IP,"10,538,000","8,458,000","5,947,000","6,009,000","6,058,000","5,966,000","3,948,000","1,916,000","2,190,000","2,986,000","2,810,000","2,545,000","23,634,000","15,835,000","16,033,000","21,161,000","19,363,000","17,565,000"
Intuit Inc. (NASDAQGS:INTU),4048157,NASDAQGS:INTU,"6,639,000","3,636,000","2,480,000","7,540,000","6,689,000","6,567,000","5,591,000","4,496,000","3,784,000","3,240,000","2,844,000","2,400,000","18,831,000","16,285,000","14,368,000","12,726,000","9,633,000","7,679,000"
"Intuitive Surgical, Inc. (NASDAQGS:ISRG)",4410647,NASDAQGS:ISRG,"170,900","79,900","87,000","93,800","89,800","146,000","3,558,000","2,804,600","2,169,000","1,959,000","2,128,400","1,320,600","10,064,700","8,352,100","7,124,100","6,222,200","5,710,100","4,358,400"
Invesco Ltd. (NYSE:IVZ),103661,NYSE:IVZ,"2,231,800","2,401,800","2,374,900","1,967,800","1,923,200","1,345,500","1,280,000","1,211,800","1,038,500","1,464,200","1,927,600","1,454,700","6,377,100","6,067,000","5,716,400","6,048,900","6,894,500","6,145,600"
Invitation Homes Inc. (NYSE:INVH),4426247,NYSE:INVH,"8,431,642","8,595,441","8,288,855","7,787,485","8,560,945","8,232,842","1,490,494","1,427,759","1,356,890","1,280,517","1,142,552","1,020,968","2,717,689","2,590,497","2,414,401","2,228,515","1,995,069","1,822,828"
IQVIA Holdings Inc. (NYSE:IQV),4326091,NYSE:IQV,"16,305,000","12,960,000","12,462,000","13,011,000","13,947,000","14,161,000","2,938,000","2,921,000","2,721,000","2,571,000","2,499,000","1,830,000","16,310,000","15,405,000","14,984,000","14,410,000","13,874,000","11,359,000"
Iron Mountain Incorporated (NYSE:IRM),4094831,NYSE:IRM,"19,123,405","11,019,213","11,703,010","13,286,900","14,790,632","16,374,638","2,328,572","2,042,213","1,830,921","1,723,267","1,542,326","1,422,524","6,901,737","6,149,909","5,480,289","5,103,574","4,491,531","4,147,270"
"J.B. Hunt Transport Services, Inc. (NASDAQGS:JBHT)",4994170,NASDAQGS:JBHT,"1,720,497","1,440,924","1,483,529","1,571,238","1,928,868","1,789,802","1,579,854","1,592,366","1,731,150","1,976,073","1,602,623","1,240,494","11,999,096","12,087,204","12,829,665","14,813,999","12,168,302","9,636,573"
Jabil Inc. (NYSE:JBL),4069059,NYSE:JBL,"3,732,000","3,349,000","3,658,000","3,729,000","3,534,000","3,611,000","2,120,000","2,143,000","2,533,000","2,356,000","1,966,000","1,467,000","29,802,000","28,883,000","34,702,000","33,478,000","29,285,000","27,266,000"
"Jack Henry & Associates, Inc. (NASDAQGS:JKHY)",3008229,NASDAQGS:JKHY,"51,187","68,632","161,021","166,519","325,269","209,604","624,732","567,780","548,204","547,207","475,162","459,972","2,375,288","2,215,543","2,077,702","1,942,884","1,758,225","1,697,067"
Jacobs Solutions Inc. (NYSE:J),4004212,NYSE:J,"2,709,857","2,607,955","3,835,161","4,165,289","3,467,256","2,752,168","1,265,025","1,107,847","912,662","941,911","1,348,900","763,717","12,029,783","11,500,941","10,851,420","9,783,074","14,092,632","13,566,975"
Johnson & Johnson (NYSE:JNJ),4044333,NYSE:JNJ,"49,333,000","36,366,000","34,751,000","40,742,000","30,432,000","37,834,000","33,836,000","29,940,000","30,767,000","28,510,000","28,206,000","27,498,000","94,193,000","88,821,000","85,159,000","79,990,000","78,740,000","82,584,000"
Johnson Controls International plc (NYSE:JCI),5234450,NYSE:JCI,"11,190,000","9,026,000","9,114,000","10,227,000","10,138,000","10,703,000","3,837,000","3,726,000","3,162,000","2,989,000","3,620,000","2,572,000","23,596,000","22,952,000","22,331,000","20,637,000","23,668,000","22,317,000"
JPMorgan Chase & Co. (NYSE:JPM),100201,NYSE:JPM,"1,025,995,000","642,211,000","623,733,000","621,439,000","725,772,000","827,030,000",NA,NA,NA,NA,NA,NA,"168,235,000","166,775,000","145,670,000","122,306,000","130,898,000","102,471,000"
Kenvue Inc. (NYSE:KVUE),109390153,NYSE:KVUE,"8,674,000","160,000","129,000","116,000","8,427,000","8,719,000","3,243,000","3,124,000","3,121,000","3,325,000","3,874,000","3,792,000","15,124,000","15,455,000","15,444,000","14,950,000","15,054,000","14,467,000"
Keurig Dr Pepper Inc. (NASDAQGS:KDP),4547508,NASDAQGS:KDP,"19,235,000","14,491,000","13,407,000","13,835,000","15,090,000","18,330,000","4,465,000","4,129,000","3,947,000","3,583,000","3,737,000","3,109,000","16,603,000","15,351,000","14,814,000","14,057,000","12,683,000","11,618,000"
KeyCorp (NYSE:KEY),100334,NYSE:KEY,"12,138,000","15,550,000","13,640,000","30,859,000","24,497,000","15,783,000",NA,NA,NA,NA,NA,NA,"7,007,000","4,239,000","5,894,000","6,743,000","7,683,000","5,665,000"
"Keysight Technologies, Inc. (NYSE:KEYS)",4972803,NYSE:KEYS,"2,778,000","1,981,000","2,023,000","2,018,000","2,026,000","2,030,000","1,214,000","1,114,000","1,591,000","1,610,000","1,382,000","1,104,000","5,375,000","4,979,000","5,464,000","5,420,000","4,941,000","4,221,000"
Kimberly-Clark Corporation (NASDAQGS:KMB),4060881,NASDAQGS:KMB,"7,576,000","8,948,000","9,123,000","9,184,000","8,486,000","7,836,000","3,199,000","3,285,000","3,053,000","3,391,000","3,591,000","4,269,000","16,447,000","16,805,000","17,146,000","20,175,000","19,440,000","19,140,000"
Kimco Realty Corporation (NYSE:KIM),102965,NYSE:KIM,"8,314,581","5,452,099","7,599,481","7,271,565","7,726,781","8,578,375","1,310,023","1,231,516","1,079,209","1,059,550","824,610","595,992","2,140,116","2,037,014","1,783,400","1,727,684","1,364,585","1,057,893"
"Kinder Morgan, Inc. (NYSE:KMI)",4275772,NYSE:KMI,"32,355,000","35,002,000","33,653,000","32,480,000","32,679,000","32,399,000","7,115,000","6,630,000","6,455,000","6,201,000","6,628,000","5,610,000","16,937,000","15,100,000","15,334,000","19,200,000","16,610,000","11,700,000"
KKR & Co. Inc. (NYSE:KKR),4165107,NYSE:KKR,"56,008,663","34,293,838","39,799,453","45,426,868","49,977,766","51,336,966",NA,NA,NA,NA,NA,NA,"25,651,109","26,421,798","18,663,644","5,515,486","24,820,632","8,510,305"
KLA Corporation (NASDAQGS:KLAC),4069171,NASDAQGS:KLAC,"6,088,282","3,569,549","3,545,828","6,774,305","6,063,132","6,819,643","5,408,315","4,037,414","4,409,809","4,014,954","2,816,076","2,105,071","12,156,162","9,812,247","10,496,056","9,211,883","6,918,734","5,806,424"
"L3Harris Technologies, Inc. (NYSE:LHX)",4104164,NYSE:LHX,"11,901,000","7,803,000","7,938,000","7,907,000","13,950,000","13,036,000","4,043,000","3,958,000","3,304,000","3,292,000","3,063,000","3,025,000","21,865,000","21,325,000","19,419,000","17,062,000","17,814,000","18,194,000"
Labcorp Holdings Inc. (NYSE:LH),4069312,NYSE:LH,"6,526,000","6,756,400","6,342,600","6,246,400","6,023,800","7,272,800","2,191,700","1,789,000","1,697,200","2,221,700","3,664,300","3,478,000","13,951,700","13,008,900","12,161,600","11,863,900","13,136,100","13,978,500"
Lam Research Corporation (NASDAQGS:LRCX),4069378,NASDAQGS:LRCX,"4,756,555","5,984,094","5,165,377","5,224,553","5,249,109","5,271,050","6,287,245","4,685,174","5,637,608","5,715,561","4,789,174","2,942,327","18,435,591","14,905,386","17,428,516","17,227,039","14,626,150","10,044,736"
Las Vegas Sands Corp. (NYSE:LVS),4107929,NYSE:LVS,"16,034,000","14,173,000","14,963,000","16,148,000","14,300,000","13,992,000","4,533,000","3,762,000","3,550,000","253,000","379,000","(323,000)","13,017,000","11,298,000","10,372,000","4,110,000","4,234,000","2,940,000"
"Leidos Holdings, Inc. (NYSE:LDOS)",4276840,NYSE:LDOS,"5,342,000","5,538,000","5,858,000","5,620,000","5,334,000","5,414,000","2,390,000","2,105,000","1,633,000","1,466,000","1,488,000","1,317,000","17,174,000","16,662,000","15,438,000","14,396,000","13,737,000","12,297,000"
Lennar Corporation (NYSE:LEN),4054537,NYSE:LEN,"6,139,152","7,421,583","6,378,364","6,199,136","4,984,028","4,189,239","2,992,315","5,210,138","5,595,761","6,878,563","5,425,184","3,183,198","34,186,934","35,441,452","34,233,366","33,671,010","27,130,676","22,488,854"
Lennox International Inc. (NYSE:LII),4021939,NYSE:LII,"1,770,700","1,178,400","1,437,600","1,749,900","1,527,300","1,488,600","1,154,800","1,134,700","916,400","729,000","652,500","553,900","5,195,300","5,341,300","4,981,900","4,718,400","4,194,100","3,634,100"
Linde plc (NASDAQGS:LIN),4062407,NASDAQGS:LIN,"28,069,000","17,223,000","15,216,000","18,791,000","20,315,000","22,609,000","13,343,000","12,669,000","12,085,000","10,859,000","10,136,000","8,732,000","33,986,000","33,005,000","32,854,000","33,364,000","30,793,000","27,243,000"
